year,Global,NHem,SHem,Tropics,Pacific,Atlantic,Indian,cluster
1980,18.064882718907892,15.558100559508947,16.141843658255628,24.56696107593865,20.55483151827782,18.418561989851515,26.76249869328969,2
1981,18.029511791169025,15.52987157943545,16.083427711257176,24.703262937720375,20.528222257011542,18.374962231296696,26.698618366079128,2
1982,18.030472032187916,15.437952949075479,16.00634062167532,24.464784110993744,20.574483764532765,18.304284117989695,26.7246941722992,2
1983,18.101853495029975,15.523977197882223,16.121264464015322,24.635955044136786,20.598630175585843,18.402997072819947,26.936795194660657,2
1984,18.007017668855486,15.73521731097809,16.4297498786354,25.243106260771366,20.49229982988735,18.40603698932484,26.576725520270287,2
1985,17.984514214200388,15.700858164809754,16.314772817069368,24.903008772007222,20.431885425313652,18.35122468092785,26.649657501229875,2
1986,18.027850114180357,15.554351732841138,16.391415044409648,24.98682554623354,20.542144716131908,18.359576705081484,26.644834178066606,2
1987,18.164938233992245,15.880226381110205,16.420604947186913,25.063903514170683,20.61871717495147,18.56048551959159,27.027507588242575,0
1988,18.116423201029292,15.922886900092562,16.404410562304815,25.255033948296717,20.525152009260406,18.54483746682273,27.08648244783756,0
1989,18.05917960370604,15.806502859234927,16.314012611996553,24.97477592583095,20.523775925484973,18.52636465817666,26.69963708859147,2
1990,18.14157097971387,15.94103804686515,16.338793829833442,24.85349412577739,20.646386357273155,18.52448073038616,26.82836509782452,2
1991,18.126438444845576,15.785636068893085,16.26807906745135,24.84137263759354,20.661258080092555,18.3819037257441,26.86143182774248,2
1992,18.05668368353191,15.631432223704511,15.829799645974282,24.390388244959798,20.606900735964746,18.257977558664518,26.73115680022801,2
1993,18.064799058802816,15.654810963929844,16.374019690956146,25.021732194641526,20.553217604939196,18.432078355768542,26.69437957526345,2
1994,18.094036441382908,15.816812901025484,16.184440197897295,24.81637550387334,20.63275604728397,18.401046067165584,26.71183828309803,2
1995,18.131942616285293,15.861121363554021,16.281539740563417,25.145035731041073,20.625105368452395,18.560756898436633,26.800853707256003,2
1996,18.113109786287847,15.670619130944862,16.209812179129532,24.969253393585245,20.637639222074355,18.476670197475823,26.73116515232965,2
1997,18.26408494397428,15.810277614812335,15.977692126167499,24.642511156653416,20.86393330050635,18.51319280171057,26.870413744467406,2
1998,18.308882699070786,16.154042535006706,16.335200707941784,25.16644387604471,20.77320546809606,18.740438122619622,27.198222847205805,0
1999,18.117512630524047,16.00888446351508,16.345959537469877,25.071285735349537,20.52806407166799,18.646703925824493,26.847966590452362,0
2000,18.143169855209013,15.918810783158422,16.268917573929485,24.93522648512718,20.594507455799793,18.60843866626495,26.839119811989328,2
2001,18.233866809339528,15.930880555218506,16.22504382814921,24.905223016337153,20.70919417161231,18.654656948117555,26.959020067891252,0
2002,18.25675080913753,16.213387640452183,16.217275952027087,24.92166741600497,20.779348962524747,18.577271964983087,27.031858536220053,0
2003,18.283018736936363,16.387027324144128,16.321395063487973,25.18768837166356,20.76156072732879,18.73677758616133,27.028538712019593,0
2004,18.26995480639447,16.24989972812084,16.088247193753237,24.892052701596224,20.793673955122927,18.669084350837995,26.903184522553442,0
2005,18.270272957406203,16.070400542218128,16.210284999688625,24.87732594637072,20.76819332781886,18.741415925681796,26.970342978922545,0
2006,18.27524245904831,16.277493532208833,16.31481088364221,25.10407446192314,20.733671335337185,18.79058332039585,26.960002239840076,0
2007,18.20001435918835,16.196013554607646,16.27822688028932,25.06357732630981,20.614981803263845,18.680540741393706,27.0154654513122,0
2008,18.192379266358564,16.2657150858922,16.43297700566429,25.31573376058209,20.62328765581083,18.733131404769104,26.859538976161804,0
2009,18.316301478704844,16.297605551168644,16.457924925507296,25.20008946903427,20.81740851982702,18.73446699291805,27.096606169955596,0
2010,18.32389085575623,16.335245766668503,16.47729897298561,25.382224092671148,20.68874249484596,18.882732782141584,27.278935144150168,0
2011,18.232059181596366,16.195992208131795,16.370601192930575,24.991831235818506,20.61311857322897,18.74536950158116,26.997708597594233,0
2012,18.286661095106947,16.109141978544343,16.092371121305778,24.73694187246972,20.714341452298118,18.7304253434476,27.10460314884078,0
2013,18.318044318750125,16.220154805400583,16.33908726308251,25.005089054946062,20.784004303050963,18.734367656373532,27.120505472941943,0
2014,18.406285351707044,16.499375410985998,16.353495755464525,25.075038579175292,20.922326298504956,18.768912359486347,27.190389375095858,0
2015,18.505061308993966,16.330137298192614,16.356589570899256,25.05871151862596,21.066858039064698,18.77003925614482,27.38125799049636,1
2016,18.551300387395198,16.575782685148592,16.523326078475087,25.41933872282982,21.094994612265157,18.873962937705407,27.38440875390345,1
2017,18.519948673897805,16.609326221789914,16.430222773924996,25.308105793887485,21.042392261592468,18.909415418503027,27.236964915281654,1
2018,18.4773963111765,16.496700583607662,16.524483876874537,25.390203109685007,21.013931277151073,18.873207176528084,27.127775645707747,1
2019,18.571040093283905,16.598670087545365,16.77007361701178,25.669048889597732,21.084235004104386,18.989991073395856,27.386954499845466,1
2020,18.543694092836905,16.596188970238014,16.57603303009507,25.487755787392814,21.046530073096765,19.00043263700402,27.38955493088341,1
2021,18.439581664780775,16.55613509142974,16.592427746389543,25.505798134679477,20.89083218875199,19.024651646058324,27.18957222590474,1
2022,18.48886946356696,16.467167224152632,16.642710862022017,25.411116370393444,20.953444369335074,19.05546402096203,27.165133656831667,1
2023,18.701665686710637,16.729072653489084,16.675815463831896,25.49435850996181,21.20848775590885,19.292268984940467,27.315900009955325,1
2024,18.74687810064533,16.760285104567572,16.871566739533318,25.698024840377276,21.19190407315509,19.347198243144792,27.62761609087602,1
