year,Global,NHem,SHem,Tropics,Pacific,Atlantic,Indian
1850,17.83428715288038,15.270304397783045,15.58631232477708,23.931657798628148,20.308007269891643,18.147869178137157,26.660241276593357
1851,17.888928548915075,15.420627391332248,15.741836524555533,24.172587756067692,20.39093671639196,18.221518803980373,26.696672964717724
1852,17.908643875286092,15.481013139350578,15.882252648562377,24.49278545011202,20.37742044075078,18.346629347782567,26.703070864316388
1853,17.905942777429033,15.551824884275932,15.678748914335488,24.14663528343726,20.429087274180105,18.226442208796826,26.703121325832143
1854,17.860424922164515,15.282222363273545,15.47038728322485,23.795052486229583,20.38168765828867,18.143853410429543,26.73803585311105
1855,17.857832857243913,15.318314467778364,15.264973528703345,23.834080707637327,20.39138704972664,18.113190278231738,26.610220520990225
1856,17.772515771709692,15.38355299612313,15.672379264954282,24.157827347695857,20.21211423201241,18.14000640285219,26.6785741075657
1857,17.686955967978683,15.580749336432955,15.492590400702655,23.995936003023708,20.183400042640038,18.04763658009479,26.282398158063707
1858,17.800146899331768,15.609637714029052,15.609507913735454,24.2564172602222,20.348508788162675,18.117460720482878,26.428125861242002
1859,17.84860673208457,15.74344974704513,15.777545735805644,24.38059999749586,20.338630542397603,18.216005720690617,26.612124983273766
1860,17.826307893428112,15.260348459991457,15.727107498978466,24.18285103221735,20.318155214809344,18.202561403714764,26.584995081389764
1861,17.770585832924038,15.354255374939282,15.636756787128434,24.049618887530446,20.281535235420343,18.11160455313607,26.424762896255025
1862,17.736716557780404,15.342316057831912,15.785889836115508,24.28780448428909,20.234107456341004,18.083671239748178,26.383397162751887
1863,17.72942253400847,15.589523646775923,15.758262515118316,24.253782783137446,20.163669818924596,18.094397337605724,26.59278973316102
1864,17.792765353831566,15.368988004841336,15.66471375803788,24.056744183037598,20.37659787164713,18.069085957789934,26.338821820704293
1865,17.960610724325242,15.540633681693116,15.997299693269689,24.43865480580047,20.547043385994787,18.303648216537166,26.58770213600859
1866,17.90045186243526,15.56811752414741,15.913061194284117,24.488747152111184,20.414871547843184,18.238196663290733,26.685325248918314
1867,17.8029534515427,15.32548539678091,15.770548257463169,24.274428001561933,20.27498600026098,18.17103602552965,26.670300417378826
1868,17.873128689273827,15.51150107481825,15.545853685078741,24.240839530637984,20.473765483115272,18.100093683113762,26.53778472926585
1869,17.838538298594948,15.423816163489088,15.423781311000738,24.238743404566833,20.396004332153442,18.05741591786951,26.675789634495604
1870,17.820344920637265,15.57515715248786,15.612636599012017,24.425787230863104,20.343359699070156,18.165770987808465,26.514946785402056
1871,17.83000118076011,15.347270420475535,15.690068173394538,24.37305362893714,20.353905063286792,18.14719288286763,26.54451516652031
1872,17.86164167535316,15.600624230005707,15.856423457746441,24.525095307836136,20.37367100511013,18.209517330779484,26.500350005247324
1873,17.811108184391486,15.410718985030494,15.797354810912838,24.53329538384793,20.36645328773305,18.088604266239777,26.370824294318787
1874,17.713798846335205,15.224868266598934,15.290965418528026,23.802928971090186,20.260447562469476,17.97250483469069,26.30533236675403
1875,17.83943306926799,15.561605850522396,16.066895052105092,24.78624218495157,20.401656059718412,18.213546768357258,26.36271811171633
1876,17.776880187160355,15.359807954460488,15.550025551903303,24.17360334086953,20.382358506988762,18.01323041182714,26.311575667802252
1877,18.024736422938155,15.580544046903334,15.841291158069293,24.571541053373902,20.665029890094576,18.307110995292422,26.563603154130437
1878,18.014964317869058,15.62554737319013,15.31270656083715,24.162438252780387,20.58104189867682,18.248183051871443,26.92525413388334
1879,17.83449057086135,15.224503056130226,15.391465093090636,23.934317493030306,20.418452710155407,18.105226700943604,26.38037245727866
1880,17.799208678391402,15.386420465099395,15.371241696913401,23.91300068881116,20.353602446787253,18.087513476910413,26.373477323251752
1881,17.87399052095291,15.164471242444204,15.533389189987865,24.05224550429433,20.44406414326645,18.160786074770808,26.559318961287367
1882,17.83268272656618,15.227408131391607,15.712905349050535,24.061925426883388,20.412814270587543,18.102749752539278,26.425475556322514
1883,17.811397416174444,15.237908867338918,15.656069633297804,24.178431295594756,20.407489054538125,18.035271619959993,26.34943317888543
1884,17.74482720209159,15.317466862750328,15.632716983382004,24.084193091618598,20.335850251042626,17.95417457954842,26.2797694252413
1885,17.74163420729194,15.351710222956681,15.653429062416137,24.36197659756744,20.316775100797717,18.012642596411325,26.261491748482687
1886,17.688181671638016,15.256716717257186,15.571044790406518,24.357265889737825,20.170799905527293,18.11921433293003,26.239408028718152
1887,17.61751256377619,15.01757078655497,15.228030339134934,23.783736570804283,20.15405088584531,17.963320803230797,26.047945586899754
1888,17.78430338337642,14.874081087559071,15.152252569947496,23.781946121006794,20.4306777271116,17.89128065306547,26.42114647666316
1889,17.810040610586704,15.35103401344,15.530202305000474,24.49446358624033,20.36701666705802,18.06904679829491,26.484686257476554
1890,17.614582324604616,15.118364798393864,15.354025263268568,24.00272896460112,20.209833167099276,17.814763083193753,26.0310961623232
1891,17.717625981991535,15.04115347281736,15.358534899830769,23.838277194511804,20.32413417247985,17.935628378127955,26.2299519556319
1892,17.598059710387933,14.99185162051393,15.415783424623605,23.931009283521117,20.090208910943897,17.883663206546586,26.2532182154262
1893,17.646268262722515,15.279210755091624,15.348452619774285,23.998768824744552,20.196914160320475,17.91089635186449,26.10610720999821
1894,17.605659605891777,15.222088854230348,15.481381151945875,24.216681210058113,20.164128148792592,17.792949850288018,26.15455663057257
1895,17.70386217407646,15.164396462431451,15.473468477100209,24.305495408237363,20.30027682655718,17.843185490061842,26.330165836280617
1896,17.83436492447507,15.322548224570884,15.242448333205974,24.22591644027778,20.468426828861208,17.950319741498276,26.461378455331165
1897,17.778085180516694,15.449436095177424,15.388962273377935,24.344249420742802,20.349340686195873,17.91338911122855,26.629884708776082
1898,17.642156649027225,15.256655625848285,15.043482974776431,23.989074027173906,20.23766833348822,17.823051740031357,26.226272132832733
1899,17.708136006776535,15.400091362485,15.3311169941003,24.323975916056266,20.329597925740924,17.93711212694426,26.15305155449229
1900,17.774565967385154,15.358433916706547,15.386815084924418,24.183659800566055,20.403060356938568,17.89443495721255,26.466206865745033
1901,17.67323989363814,15.450758225104517,15.340835404435307,24.21801420771405,20.26751470929239,17.92340234260847,26.211784724630082
1902,17.62459606559567,14.985059165080767,15.235077553947574,23.775857399911974,20.213394547697614,17.803478386788008,26.251819168237947
